object_id,player_name,is_hsv,pressure,compactness,lpc,pos,anticipation,synchronization,total_flagged
DFL-OBJ-J01U8K,Adam Daghim,False,5.0,0.0,0.0,1.0,1.0,3.0,10.0
DFL-OBJ-J01UCR,Sebastian Söraas Sebulonsen,False,1.5,1.0,0.0,0.0,0.5,0.0,3.0
DFL-OBJ-J01UD5,Lennart Karl,False,1.0,0.0,0.0,0.5,0.5,0.0,2.0
DFL-OBJ-J01UP1,Jobe Samuel Patrick Bellingham,False,1.0,0.0,0.0,0.0,0.0,0.0,1.0
DFL-OBJ-J01US3,Eliesse Ben Seghir,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0
DFL-OBJ-J01VXC,Giorgi Gocholeishvili,True,12.0,0.0,6.0,0.0,7.0,6.0,31.0
DFL-OBJ-J01VYC,Livan Baha Burcu,False,0.0,0.0,0.0,0.5,0.5,1.0,2.0
DFL-OBJ-J01VZA,Jovan Milošević,False,0.0,0.0,1.0,0.0,0.0,2.0,3.0
DFL-OBJ-J01W5Q,Louis Oppie,False,3.0,0.0,0.0,0.0,2.0,1.0,6.0
DFL-OBJ-J01W6J,Rayan Philippe,True,9.5,1.0,5.0,0.0,7.5,13.0,36.0
DFL-OBJ-J01WS3,Ilyas Ansah,False,1.0,0.0,1.0,0.0,1.0,1.0,4.0
DFL-OBJ-J01WX3,Johan Manzambi,False,1.0,0.0,0.0,0.0,1.0,1.0,3.0
DFL-OBJ-J01XA7,Bruno Ifechukwu Ogbus,False,0.5,0.0,0.0,0.0,0.5,0.0,1.0
DFL-OBJ-J01XHG,Kristoffer Lund Hansen,False,0.0,1.0,0.0,0.0,0.0,1.0,2.0
DFL-OBJ-J01XKB,William Cole Campbell,False,0.5,0.0,0.0,0.0,0.5,0.0,1.0
DFL-OBJ-J01ZQD,Saïd El Mala,False,4.0,0.0,1.0,0.0,0.0,0.0,5.0
DFL-OBJ-J0208Z,Cameron Mitchel Puertas Castro,False,0.5,0.0,0.0,0.5,0.0,1.0,2.0
DFL-OBJ-J020IH,Luka Vušković,True,0.0,1.0,0.0,0.0,1.0,2.0,4.0
DFL-OBJ-J020YN,Marco Grüll,False,1.0,0.0,0.0,0.0,3.0,3.0,7.0
DFL-OBJ-J02110,Albian Hajdari,False,1.0,0.0,0.0,0.0,0.0,0.0,1.0
DFL-OBJ-J021AR,Martijn Kaars,False,0.0,0.0,0.0,0.0,1.0,1.0,2.0
DFL-OBJ-J021B9,Nikolas Konrad Veratschnig,False,0.0,0.0,1.0,0.0,0.0,1.0,2.0
DFL-OBJ-J021EE,Kaishu Sano,False,0.5,0.0,0.0,0.0,0.5,0.0,1.0
DFL-OBJ-J021ET,Mohamed El Amine Amoura,False,3.5,1.0,2.0,0.0,3.5,1.0,11.0
DFL-OBJ-J021LJ,Fabio Amado Uri Baldé,True,5.5,2.0,0.0,0.5,4.0,7.0,19.0
DFL-OBJ-J021ZE,Andrej Ilić,False,4.0,0.0,1.0,0.0,2.0,4.0,11.0
DFL-OBJ-J02270,Emir Sahiti,True,1.5,0.0,1.0,0.0,0.5,0.0,3.0
DFL-OBJ-J0231Z,Bazoumana Toure,False,2.0,1.0,0.0,0.0,1.0,3.0,7.0
DFL-OBJ-J02322,Alexander Rössing-Lelesiit,True,3.333333333333333,1.0,1.0,0.3333333333333333,4.333333333333333,8.0,18.0
DFL-OBJ-J0244R,Ricky-Jade Jones,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0
