time_block,TPR,game_state
15-30,0.2803463627530396,level
15-30,0.2757325993255707,level
15-30,0.2849262705437196,level
15-30,0.3010307656127667,level
15-30,0.3386924504856583,level
15-30,0.3714909544422078,level
15-30,0.3427008880536143,level
15-30,0.3136178124915731,level
15-30,0.3099679990802237,level
15-30,0.306992791713093,level
15-30,0.2966886804431476,level
15-30,0.2851029717119489,level
15-30,0.2828209929090305,level
15-30,0.3320738839517571,level
15-30,0.4142437861058746,level
15-30,0.4718568174462604,level
15-30,0.4168785861832657,level
15-30,0.3005894719491466,level
15-30,0.3571892756059239,level
15-30,0.3726933055764618,level
15-30,0.3111694874956103,level
15-30,0.2809453442196583,level
15-30,0.3094033786477326,level
15-30,0.3565493266863008,level
15-30,0.3303643774165961,level
15-30,0.4094945344808245,level
15-30,0.5569489683754109,level
15-30,0.527542342316681,level
15-30,0.546027335340993,level
15-30,0.3561785805266968,level
15-30,0.2689601542394065,level
15-30,0.2677361601130231,level
15-30,0.2532922373587632,level
15-30,0.2850853215177492,level
15-30,0.2601308046727675,level
15-30,0.2488374553648383,level
15-30,0.3136288498018808,level
15-30,0.360066308279037,level
15-30,0.3373095033376033,level
15-30,0.4075623461726241,level
15-30,0.421680000442547,level
15-30,0.3856548378262992,level
15-30,0.2508459254824051,level
15-30,0.235975536958679,level
15-30,0.2993122109081447,level
15-30,0.2890545719848871,level
15-30,0.3670122487052024,level
15-30,0.3512430155863522,level
15-30,0.3549406527085818,level
15-30,0.4774879778733757,level
15-30,0.4409757888588244,level
15-30,0.4239578617301787,level
15-30,0.697270241350019,level
15-30,0.4067037822863543,level
15-30,0.5737053347475741,level
15-30,0.2769751818532916,level
15-30,0.2612906762678177,level
15-30,0.230298264903256,level
15-30,0.2114892919766767,level
15-30,0.1731307796486462,level
15-30,0.21924291454039,level
15-30,0.2992968563698039,level
15-30,0.4594018044793265,level
15-30,0.486436372872999,level
15-30,0.3826667558741721,level
15-30,0.4810400884647798,level
15-30,0.3659787251348577,level
15-30,0.3404306918724553,level
15-30,0.3854874937806694,level
15-30,0.2054974101047088,level
15-30,0.1909211121153951,level
15-30,0.2521614054094483,level
15-30,0.2770438571889693,level
15-30,0.3023461005998143,level
15-30,0.3017236518920311,level
15-30,0.2746731244665752,level
15-30,0.4044741479179384,level
15-30,0.4055950924166143,level
15-30,0.4149902876431663,level
15-30,0.3242771570891176,level
15-30,0.3082624041340003,level
15-30,0.3858956854916107,level
15-30,0.3623880747303861,level
15-30,0.3457677005309438,level
15-30,0.3599517034173009,level
15-30,0.2985386197719405,level
15-30,0.2897211751902886,level
15-30,0.2096958314658155,level
15-30,0.3652304397281419,level
15-30,0.3897722453905173,level
15-30,0.3358201784434441,level
15-30,0.3872425136961459,level
15-30,0.3413761318287656,level
15-30,0.4299910784398244,level
15-30,0.4364238472209185,level
15-30,0.3716550602977697,level
15-30,0.4262469904288677,level
15-30,0.6035228426605255,level
15-30,0.5800747591225358,level
15-30,0.4874302444698768,level
15-30,0.3866573617960399,level
15-30,0.3595602296587044,level
15-30,0.6693392914669437,level
15-30,0.3862079723682649,level
15-30,0.4419889231403549,level
15-30,0.4556188165860031,level
15-30,0.4452636323043797,level
15-30,0.4510630500889792,level
15-30,0.4691626927889154,level
15-30,0.5162995060493935,level
15-30,0.4535741518570171,level
15-30,0.4665786233814785,level
15-30,0.40495305946631,level
15-30,0.3755606070781867,level
15-30,0.3728338227253093,level
15-30,0.4354865323717994,level
15-30,0.4008611661196666,level
15-30,0.4191578618973448,level
15-30,0.4327567480230685,level
15-30,0.3228028380676873,level
15-30,0.341146140206382,level
15-30,0.437378310615407,level
15-30,0.3699758687713865,level
15-30,0.3691683250506342,level
15-30,0.4027196526426309,level
15-30,0.3959140917694725,level
15-30,0.4562810000595078,level
15-30,0.3403925634373524,level
15-30,0.293316935640527,level
15-30,0.3452918591252031,level
15-30,0.3491113249941986,level
15-30,0.2188292923293152,level
15-30,0.4192159794707863,level
15-30,0.6533218824503302,level
15-30,0.5074339836143593,level
15-30,0.4488697953038261,level
15-30,0.5785861179496384,level
15-30,0.6728705596358115,level
15-30,0.5451212974397951,level
