object_id,player_name,times_responsible,avg_deviation_cm_s,matches,is_goalkeeper
DFL-OBJ-J01TQX,Ameen Al-Dakhil,1,188.616844307064,1,False
DFL-OBJ-J01TMV,Robin Hranáč,1,338.498353096178,1,False
DFL-OBJ-J01R3Q,Carney Chibueze Chukwuemeka,1,238.78580256297755,1,False
DFL-OBJ-J02110,Albian Hajdari,1,314.33941420898225,1,False
DFL-OBJ-J0208Z,Cameron Mitchel Puertas Castro,1,175.66776460254692,1,False
DFL-OBJ-J02324,Daniel Jonathan Svensson,1,341.6749940880359,1,False
DFL-OBJ-J01XHG,Kristoffer Lund Hansen,1,497.98695145433794,1,False
DFL-OBJ-J02452,Mathias Pereira Lage,1,275.6042180444317,1,False
DFL-OBJ-J024CC,Yan Diomande,1,468.9103422744753,1,False
DFL-OBJ-J024FD,José María Andrés Baixauli,1,454.8887298289511,1,False
DFL-OBJ-J024SS,Ignacio Ezequiel Agustín Fernández Carballo,1,240.38414102001016,1,False
DFL-OBJ-J024SW,Jenson Seelt,1,239.68987674965857,1,False
DFL-OBJ-J0259D,Jonas Adjei Adjetey,1,239.42706468249747,1,False
