object_id,player_name,match_id,times_flagged,avg_gap_m
DFL-OBJ-J01KK4,Antonio Eromonsele Nordby Nusa,DFL-MAT-J041VR,24,26.86814975393182
DFL-OBJ-002G4A,Ellyes Joris Skhiri,DFL-MAT-J0421Z,24,37.150004841037266
DFL-OBJ-0028I9,Chris Jan Führich,DFL-MAT-J04219,24,29.23868545353831
DFL-OBJ-J01FDE,Arnaud Kalimuendo Muinga,DFL-MAT-J0421Z,24,33.5093932180914
DFL-OBJ-002FU7,Jonathan Michael Burkardt,DFL-MAT-J0421Z,24,27.578519597318714
DFL-OBJ-0027AH,Raphaël Adelino José Guerreiro,DFL-MAT-J041UO,23,29.510097168381893
DFL-OBJ-J01D1W,Julian Jeffrey Gaston Chabot,DFL-MAT-J041X5,23,25.199028499419686
DFL-OBJ-0028HA,Sirlord Calvin Conteh,DFL-MAT-J041ZD,23,30.389841680660755
DFL-OBJ-J01RF2,Bilal El Khannouss,DFL-MAT-J04219,23,25.474653034878628
DFL-OBJ-00002T,Pascal Groß,DFL-MAT-J041WN,22,33.473960567205594
DFL-OBJ-J0117M,Haris Tabaković,DFL-MAT-J041UB,22,29.80335937639168
DFL-OBJ-J01EAZ,Arijon Ibrahimović,DFL-MAT-J041ZD,22,29.31600424576442
DFL-OBJ-J01KLQ,Aurèle Florian Amenda,DFL-MAT-J041XW,22,31.553227083232766
DFL-OBJ-J00ZZ3,Harry Edward Kane,DFL-MAT-J041UO,22,28.88326604407289
DFL-OBJ-J021ET,Mohamed El Amine Amoura,DFL-MAT-J041W5,22,25.692657756701784
DFL-OBJ-0028B6,Jan-Niklas Beste,DFL-MAT-J041Y0,21,20.510034228079203
DFL-OBJ-J01U0S,Tidiam Diadie Stephan Gomis,DFL-MAT-J04205,21,30.989260018680127
DFL-OBJ-J01VZA,Jovan Milošević,DFL-MAT-J0421J,21,27.61026882362941
DFL-OBJ-J01D9B,Ramon Hendriks,DFL-MAT-J04219,21,19.286482834169778
