object_id,player_name,is_hsv,phase,pressure,compactness,lpc,pos,anticipation,synchronization,total_flagged
DFL-OBJ-002G8B,Ransford-Yeboah Königsdörffer,True,transition,0.0,0.0,0.0,0.0,0.0,4.0,4.0
DFL-OBJ-002G8E,Eren Sami Dinkçi,False,low_press,0.0,0.0,0.0,0.0,0.0,2.0,2.0
DFL-OBJ-002G8E,Eren Sami Dinkçi,False,mid_press,0.0,1.0,0.0,0.0,0.0,0.0,1.0
DFL-OBJ-002G8H,Exequiel Alejandro Palacios,False,low_press,1.0,0.0,0.0,0.0,0.0,0.0,1.0
DFL-OBJ-002GBW,Tim Lemperle,False,high_press,0.0,0.0,0.0,0.0,0.0,1.0,1.0
DFL-OBJ-002GBW,Tim Lemperle,False,low_press,2.5,0.0,2.0,0.0,1.5,2.0,8.0
DFL-OBJ-002GBW,Tim Lemperle,False,mid_press,1.0,0.0,0.0,0.0,0.0,0.0,1.0
DFL-OBJ-002GC0,Rocco Reitz,False,low_press,1.0,0.0,0.0,0.0,0.0,1.0,2.0
DFL-OBJ-002GC7,Luca Netz,False,high_press,0.0,0.0,1.0,0.0,0.0,0.0,1.0
DFL-OBJ-002GC7,Luca Netz,False,low_press,1.0,0.0,0.0,0.0,0.0,2.0,3.0
DFL-OBJ-002GC7,Luca Netz,False,mid_press,1.0,0.0,0.0,1.0,1.0,1.0,4.0
DFL-OBJ-002GC7,Luca Netz,False,transition,0.0,0.0,0.0,0.0,0.0,2.0,2.0
DFL-OBJ-002GCU,Malik Leon Tillman,False,low_press,0.0,0.0,0.0,0.0,0.0,1.0,1.0
DFL-OBJ-002GDA,Ragnar Prince Friedel Ache,False,low_press,4.0,0.0,2.0,0.0,0.0,0.0,6.0
DFL-OBJ-002GDA,Ragnar Prince Friedel Ache,False,mid_press,0.0,0.0,0.0,0.0,1.0,0.0,1.0
DFL-OBJ-002GDA,Ragnar Prince Friedel Ache,False,transition,1.0,0.0,0.0,0.0,0.0,0.0,1.0
DFL-OBJ-002GEY,Ermedin Demirović,False,low_press,0.0,0.0,1.0,0.0,0.0,0.0,1.0
DFL-OBJ-002GG4,Jens Castrop,False,low_press,1.0,0.0,0.0,0.0,0.0,0.0,1.0
DFL-OBJ-002GG7,Pharrell Nnamdi Collins,False,high_press,0.0,1.0,0.0,0.0,0.0,0.0,1.0
DFL-OBJ-002GJN,Ritsu Dōan,False,low_press,1.0,0.0,0.0,0.0,0.0,0.0,1.0
DFL-OBJ-002GKG,Ansgar Knauff,False,low_press,2.5,0.0,0.0,0.0,2.5,0.0,5.0
DFL-OBJ-002GKG,Ansgar Knauff,False,mid_press,0.5,0.0,0.0,0.0,0.5,0.0,1.0
DFL-OBJ-002GKG,Ansgar Knauff,False,transition,1.0,0.0,0.0,0.0,0.0,1.0,2.0
DFL-OBJ-002GMV,Igor Matanović,False,low_press,1.0,0.0,0.0,0.0,0.0,0.0,1.0
DFL-OBJ-002GN3,Fisnik Asllani,False,low_press,0.5,0.0,0.0,0.0,0.5,0.0,1.0
DFL-OBJ-002GNN,Joseph Michael Scally,False,low_press,1.0,0.0,0.0,0.0,0.0,1.0,2.0
DFL-OBJ-002GPZ,Justin Gideon Njinmah,False,high_press,0.0,0.0,0.0,0.0,0.0,1.0,1.0
DFL-OBJ-002GPZ,Justin Gideon Njinmah,False,low_press,1.0,0.0,0.0,0.5,1.5,3.0,6.0
DFL-OBJ-002GPZ,Justin Gideon Njinmah,False,mid_press,0.5,0.0,0.0,0.0,0.5,0.0,1.0
DFL-OBJ-002GPZ,Justin Gideon Njinmah,False,transition,1.0,0.0,0.0,0.0,0.0,0.0,1.0
DFL-OBJ-J00W7B,Christian Dannemann Eriksen,False,mid_press,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,1.0
DFL-OBJ-J00ZZ3,Harry Edward Kane,False,low_press,0.0,0.0,0.0,0.0,0.0,2.0,2.0
DFL-OBJ-J0117M,Haris Tabaković,False,low_press,4.0,1.0,2.0,0.0,1.0,8.0,16.0
DFL-OBJ-J0117M,Haris Tabaković,False,mid_press,1.0,0.0,0.0,0.0,0.0,0.0,1.0
DFL-OBJ-J0117M,Haris Tabaković,False,transition,0.0,0.0,0.0,0.0,0.0,1.0,1.0
DFL-OBJ-J0133P,Vladimir Coufal,False,high_press,0.5,0.0,0.0,0.0,0.5,0.0,1.0
DFL-OBJ-J0133P,Vladimir Coufal,False,low_press,0.0,0.0,0.0,0.0,1.0,0.0,1.0
DFL-OBJ-J0133P,Vladimir Coufal,False,transition,0.5,0.0,1.0,0.0,0.5,2.0,4.0
DFL-OBJ-J0157X,Manolis Saliakas,False,low_press,0.0,0.0,0.0,0.0,0.0,1.0,1.0
DFL-OBJ-J016J2,Alejandro Grimaldo Garcia,False,low_press,3.0,0.0,0.0,0.5,0.5,0.0,4.0
DFL-OBJ-J017PC,Jean-Luc Mamadou Diarra Dompé,True,high_press,0.3333333333333333,2.0,0.0,0.3333333333333333,0.3333333333333333,1.0,4.0
DFL-OBJ-J017PC,Jean-Luc Mamadou Diarra Dompé,True,low_press,27.166666666666668,1.0,6.0,3.1666666666666665,12.666666666666666,24.0,74.0
DFL-OBJ-J017PC,Jean-Luc Mamadou Diarra Dompé,True,mid_press,3.0,0.0,0.0,0.0,1.0,1.0,5.0
DFL-OBJ-J017PC,Jean-Luc Mamadou Diarra Dompé,True,transition,2.5,3.0,0.0,1.0,0.5,5.0,12.0
DFL-OBJ-J017TJ,Dimitrios Christos Giannoulis,False,low_press,0.5,0.0,2.0,0.0,0.5,1.0,4.0
DFL-OBJ-J017TJ,Dimitrios Christos Giannoulis,False,mid_press,0.0,1.0,0.0,0.0,0.0,0.0,1.0
DFL-OBJ-J017TJ,Dimitrios Christos Giannoulis,False,transition,1.0,0.0,0.0,0.0,0.0,0.0,1.0
DFL-OBJ-J017VJ,Arnaud Dominique Nordin,False,low_press,0.0,0.0,0.0,0.0,0.0,1.0,1.0
DFL-OBJ-J017VJ,Arnaud Dominique Nordin,False,transition,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,1.0
DFL-OBJ-J01860,Aleix García Serrano,False,low_press,1.0,0.0,0.0,0.0,1.0,0.0,2.0
DFL-OBJ-J018BS,Rasmus Nissen Kristensen,False,low_press,1.0,0.0,0.0,0.0,0.0,1.0,2.0
DFL-OBJ-J018BS,Rasmus Nissen Kristensen,False,transition,0.0,0.0,1.0,0.0,0.0,0.0,1.0
DFL-OBJ-J019T5,Diogo Filipe Monteiro Pinto Leite,False,high_press,0.0,0.0,0.0,0.0,0.0,1.0,1.0
DFL-OBJ-J019T5,Diogo Filipe Monteiro Pinto Leite,False,mid_press,0.5,0.0,0.0,0.0,0.5,0.0,1.0
DFL-OBJ-J019UO,Stanley Pierre Nsoki,False,high_press,0.5,0.0,0.0,0.0,0.5,0.0,1.0
DFL-OBJ-J019ZE,Jonas Older Wind,False,low_press,1.0,0.0,0.0,0.0,0.0,0.0,1.0
DFL-OBJ-J01A3I,Albert-Mboyo Sambi Lokonga,True,low_press,1.5,0.0,0.0,0.0,0.5,1.0,3.0
DFL-OBJ-J01AUU,Adrian Beck,False,low_press,1.0,0.0,0.0,0.0,0.0,0.0,1.0
DFL-OBJ-J01AZQ,Omar Haktab Traoré,False,high_press,0.0,0.0,0.0,0.0,0.0,1.0,1.0
DFL-OBJ-J01AZQ,Omar Haktab Traoré,False,low_press,0.5,0.0,0.0,0.0,0.5,0.0,1.0
DFL-OBJ-J01AZQ,Omar Haktab Traoré,False,mid_press,1.0,0.0,0.0,0.0,0.0,2.0,3.0
DFL-OBJ-J01AZQ,Omar Haktab Traoré,False,transition,1.5,0.0,0.0,0.0,0.5,0.0,2.0
DFL-OBJ-J01B7D,Martin Albert Frederic Terrier,False,low_press,1.5,0.0,0.0,0.0,0.5,0.0,2.0
DFL-OBJ-J01BGD,Danel Sinani,False,high_press,0.5,0.0,0.0,0.0,0.5,0.0,1.0
DFL-OBJ-J01BGD,Danel Sinani,False,low_press,0.0,0.0,1.0,0.0,0.0,0.0,1.0
DFL-OBJ-J01BKL,Han-Noah Massengo,False,high_press,0.0,0.0,0.0,0.0,1.0,0.0,1.0
DFL-OBJ-J01C0A,Andreas Skov Olsen,False,low_press,1.0,0.0,0.0,0.0,0.0,0.0,1.0
DFL-OBJ-J01CAD,Derrick Arthur Köhn,False,low_press,1.0,0.0,0.0,0.0,0.0,0.0,1.0
DFL-OBJ-J01CAD,Derrick Arthur Köhn,False,mid_press,0.0,1.0,1.0,0.0,0.0,1.0,3.0
DFL-OBJ-J01D4G,Franck Honorat,False,low_press,3.0,0.0,0.0,0.0,0.0,0.0,3.0
DFL-OBJ-J01D4G,Franck Honorat,False,mid_press,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,1.0
DFL-OBJ-J01D4G,Franck Honorat,False,transition,1.0,0.0,0.0,0.0,0.0,0.0,1.0
DFL-OBJ-J01D90,Wouter Burger,False,low_press,1.0,0.0,0.0,0.0,0.0,0.0,1.0
DFL-OBJ-J01D9B,Ramon Hendriks,False,high_press,0.0,0.0,0.0,0.0,0.0,1.0,1.0
DFL-OBJ-J01DA7,Luis Fernando Díaz Marulanda,False,low_press,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,2.0
DFL-OBJ-J01DAB,Fabio Daniel Soares Silva,False,low_press,1.0,0.0,0.0,0.0,0.0,0.0,1.0
DFL-OBJ-J01DCO,Yukinari Sugawara,False,high_press,1.0,0.0,1.0,0.0,0.0,0.0,2.0
DFL-OBJ-J01DCO,Yukinari Sugawara,False,low_press,1.0,0.0,1.0,0.0,0.0,1.0,3.0
DFL-OBJ-J01DCO,Yukinari Sugawara,False,mid_press,0.3333333333333333,1.0,0.0,0.3333333333333333,2.333333333333333,1.0,5.0
DFL-OBJ-J01DKU,Benedict Hollerbach,False,low_press,2.5,0.0,0.0,0.0,0.5,9.0,12.0
DFL-OBJ-J01DKU,Benedict Hollerbach,False,mid_press,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,1.0
DFL-OBJ-J01DNM,Nathaniel Brown,False,low_press,0.0,0.0,0.0,0.0,1.0,0.0,1.0
DFL-OBJ-J01DNM,Nathaniel Brown,False,mid_press,1.0,0.0,0.0,0.0,0.0,0.0,1.0
DFL-OBJ-J01DOV,Castello Junior Lukeba,False,transition,0.5,0.0,0.0,0.0,0.5,0.0,1.0
DFL-OBJ-J01E9X,Karim David Adeyemi,False,low_press,2.0,0.0,0.0,0.0,0.0,1.0,3.0
DFL-OBJ-J01E9X,Karim David Adeyemi,False,transition,0.0,0.0,0.0,0.0,1.0,0.0,1.0
DFL-OBJ-J01EAG,Tiago Barreiros de Melo Tomás,False,low_press,1.0,0.0,0.0,0.0,0.0,0.0,1.0
DFL-OBJ-J01EAQ,Mikkel Kaufmann Sörensen,False,low_press,2.5,0.0,0.0,0.0,2.5,1.0,6.0
DFL-OBJ-J01EAZ,Arijon Ibrahimović,False,low_press,1.0,0.0,0.0,0.0,1.0,3.0,5.0
